Time,"Time Code","Country Name","Country Code","AIDS estimated deaths (UNAIDS estimates) [SH.DYN.AIDS.DH]","Children orphaned by HIV/AIDS [SH.HIV.ORPH]","Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Forest area (% of land area) [AG.LND.FRST.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Population living in slums (% of urban population) [EN.POP.SLUM.UR.ZS]","Population, total [SP.POP.TOTL]","Vulnerable employment, female (% of female employment) [SL.EMP.VULN.FE.ZS]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]"
1990,"YR1990","Korea, Dem. Rep.","PRK","","","","","","2.289","68.1089610497467","","68.5","20293054","","2.3206"
1990,"YR1990","Korea, Rep.","KOR","","","","5.76037425211894","186.316032252823","1.57","66.0377358490566","","","42869283","","5.0238"
1990,"YR1990","Kosovo","XKX","","","","","","3.9","","","","1862000","",""
1990,"YR1990","Kuwait","KWT","100","","","24.290470395763","","2.967","0.193602693602694","","","2099615","","28.5146"
1990,"YR1990","Kyrgyz Republic","KGZ","100","100","","","490.641017966897","3.63","4.35870698644421","","","4391200","","61.449"
1990,"YR1990","Lao PDR","LAO","100","100","","0.0499442053393799","","6.151","76.4510398613518","","","4258472","","107.0102"
1990,"YR1990","Late-demographic dividend","LTE","","","","3.36966613311031","260.239604564793","2.45207625039614","38.7704320577533","93.71039","42.318335646172","1851248918","","31.4755723406335"
1990,"YR1990","Latin America & Caribbean","LCN","","","","2.27530260191544","105.2578936657","3.2497553965431","51.0311953321278","90.98502","35.4668092583214","445044474","","84.7929259487095"
1990,"YR1990","Latin America & Caribbean (excluding high income)","LAC","","","","2.12283033633043","101.724363146574","3.31707876973219","59.2857877541513","90.67264","36.0950480002405","387713894","","86.367988487483"
1990,"YR1990","Latin America & Caribbean (IDA & IBRD)","TLA","","","","2.23096369451243","105.321239074977","3.30102905198597","51.2128339265169","90.72744","35.4668092583214","430014112","","85.1508830554034"
1990,"YR1990","Latvia","LVA","","","","","","2.02","51.0161425172037","","","2663151","","44.2938"
1990,"YR1990","Least developed countries: UN classification","LDC","","","","0.150132952056273","223.122007287298","5.94922098127398","30.5553979878633","56.28644","","510827576","","135.734258302538"
